Designator,Mid X,Mid Y,Rotation,Layer
C1,109.64,-105.99,0.0,top
C2,102.0425,-88.62,0.0,top
C3,113.73,-93.38,180.0,top
C4,108.23,-101.52,0.0,top
C7,79.3075,-90.91,180.0,top
C8,78.9275,-94.72,0.0,top
D1,123.42,-93.46,270.0,top
J2,74.91,-109.275,270.0,top
J5,111.65,-56.05,90.0,top
L1,115.94,-96.76,0.0,top
R1,104.1025,-103.31,0.0,top
R10,80.1175,-101.9,0.0,top
R11,84.46,-84.43,0.0,top
R12,98.77,-86.09,90.0,top
R2,99.3675,-101.71,0.0,top
R3,106.03,-91.61,180.0,top
R4,109.3625,-93.25,0.0,top
R5,109.87,-97.6075,90.0,top
R6,113.83,-101.2675,270.0,top
R9,80.59,-112.89,90.0,top
U1,90.16,-73.55,90.0,top
U2,102.71,-95.88,90.0,top
U4,90.11,-90.99,180.0,top
