Designator,Footprint,Quantity,Value,Link
"C1, C7, C8",0603,3,10uF,https://www.aliexpress.com/item/1005007464553853.html?spm=a2g0o.productlist.main.3.6e8fHO8ZHO8ZnU&algo_pvid=49de4b0b-6518-4862-8545-196718015934&pdp_ext_f=%7B%22order%22%3A%22840%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
C2,0603,1,100nF,https://www.aliexpress.com/item/1005008841132875.html?spm=a2g0o.productlist.main.1.263317adJZKB99&algo_pvid=1a0db76b-8bf0-408a-9bc0-cfbd56bde34d&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
C3,0603,1,22uF,https://www.aliexpress.com/item/1005008841132875.html?spm=a2g0o.productlist.main.1.263317adJZKB99&algo_pvid=1a0db76b-8bf0-408a-9bc0-cfbd56bde34d&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
C4,0603,1,220pF,https://www.aliexpress.com/item/1005008841132875.html?spm=a2g0o.productlist.main.1.263317adJZKB99&algo_pvid=1a0db76b-8bf0-408a-9bc0-cfbd56bde34d&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
D1,D_SOD-882,1,D_Schottky,https://www.aliexpress.com/item/1005008567183952.html?spm=a2g0o.productlist.main.8.8c623782lCnHIC&algo_pvid=44e9cb80-237d-4523-b023-3348c4953a61&pdp_ext_f=%7B%22order%22%3A%22199%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
J2,USB_C_Receptacle_GCT_USB4085,1,USB_C_Receptacle_USB2.0_14P,https://www.aliexpress.com/item/1005007627491218.html?spm=a2g0o.productlist.main.1.3bc4KpVvKpVvM4&algo_pvid=3eca53a2-f419-4e89-afb9-db3d158e65b6&pdp_ext_f=%7B%22order%22%3A%229%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
J5,PinHeader_1x04_P2.54mm_Vertical,1,Display Connector,
L1,0603,1,10uH,https://www.aliexpress.com/item/1005004900337516.html?spm=a2g0o.productlist.main.1.79e220d50JLv9m&algo_pvid=86b1d727-bdf2-4ac7-ad96-1e12b39ca9c8&pdp_ext_f=%7B%22order%22%3A%2299%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
R1,0603,1,100k,https://www.aliexpress.com/item/1005001793547200.html?spm=a2g0o.productlist.main.2.5588113dkSk7Kq&algo_pvid=c8e4ad9c-9203-4a07-9b5c-051ba42889a3&pdp_ext_f=%7B%22order%22%3A%22315%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
"R10, R9",0603,2,5.1k,https://www.aliexpress.com/item/1005006468967431.html?spm=a2g0o.productlist.main.2.7c2767a2AUBbpY&algo_pvid=e6273f74-80c0-4dda-8bb6-7a84052876b0&pdp_ext_f=%7B%22order%22%3A%2254%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
